# Simulation 4 (Up to date)
# 1138 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
#   Recovery device deployment at high speed (24.1 m/s):  "Light Std Parabolic Parachute [Cd .97 (10.82 oz) 63.53 in^3]"
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (G)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
25.499,1.231e4,16.139,-0.992
25.549,1.231e4,15.653,-0.991
25.599,1.232e4,15.167,-0.991
25.649,1.232e4,14.681,-0.99
25.699,1.232e4,14.196,-0.99
25.749,1.232e4,13.711,-0.989
25.799,1.232e4,13.226,-0.988
25.849,1.233e4,12.742,-0.988
25.899,1.233e4,12.258,-0.987
25.949,1.233e4,11.774,-0.986
25.999,1.233e4,11.29,-0.986
26.049,1.233e4,10.807,-0.985
26.099,1.234e4,10.325,-0.984
26.149,1.234e4,9.842,-0.984
26.199,1.234e4,9.36,-0.983
26.249,1.234e4,8.878,-0.982
26.299,1.234e4,8.396,-0.982
26.349,1.234e4,7.915,-0.981
26.399,1.234e4,7.434,-0.981
26.449,1.235e4,6.953,-0.98
26.499,1.235e4,6.473,-0.98
26.549,1.235e4,5.993,-0.979
26.599,1.235e4,5.513,-0.979
26.649,1.235e4,5.033,-0.978
26.699,1.235e4,4.553,-0.978
26.749,1.235e4,4.074,-0.977
26.799,1.235e4,3.595,-0.977
26.849,1.235e4,3.116,-0.976
26.899,1.235e4,2.638,-0.976
26.949,1.235e4,2.159,-0.976
26.999,1.235e4,1.681,-0.976
27.049,1.235e4,1.202,-0.975
27.099,1.235e4,0.724,-0.975
27.149,1.235e4,0.246,-0.975
# Event APOGEE occurred at t=27.199 seconds
27.199,1.235e4,-0.232,-0.975
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=27.2 seconds
# Event SIM_WARN occurred at t=27.249 seconds: Recovery device deployment at high speed (25.5 m/s):  "Pro X Drogue Parachute [Cd .97 (4.5 oz) 42.41 in^3]"
27.249,1.235e4,-0.71,-0.975
27.329,1.235e4,-1.475,-0.951
27.412,1.235e4,-2.247,-0.929
27.497,1.235e4,-3.027,-0.907
27.586,1.235e4,-3.815,-0.885
27.678,1.235e4,-4.61,-0.865
27.772,1.235e4,-5.411,-0.844
27.87,1.235e4,-6.218,-0.824
27.97,1.234e4,-7.03,-0.804
28.074,1.234e4,-7.848,-0.784
28.181,1.234e4,-8.669,-0.764
28.291,1.234e4,-9.494,-0.744
28.404,1.233e4,-10.321,-0.723
28.521,1.233e4,-11.151,-0.702
28.642,1.232e4,-11.981,-0.68
28.766,1.232e4,-12.811,-0.657
28.895,1.231e4,-13.64,-0.634
29.028,1.231e4,-14.468,-0.609
29.166,1.23e4,-15.293,-0.584
29.31,1.229e4,-16.115,-0.557
29.459,1.228e4,-16.931,-0.529
29.615,1.228e4,-17.742,-0.5
29.779,1.227e4,-18.545,-0.471
29.951,1.226e4,-19.34,-0.44
30.133,1.224e4,-20.125,-0.408
30.327,1.223e4,-20.898,-0.375
30.533,1.222e4,-21.657,-0.341
30.755,1.22e4,-22.4,-0.307
30.996,1.218e4,-23.125,-0.272
31.26,1.216e4,-23.827,-0.237
31.551,1.214e4,-24.504,-0.201
31.878,1.211e4,-25.15,-0.167
32.251,1.208e4,-25.759,-0.132
32.686,1.204e4,-26.323,-0.1
33.186,1.2e4,-26.811,-0.07
33.686,1.196e4,-27.155,-0.049
34.186,1.191e4,-27.393,-0.033
34.686,1.187e4,-27.556,-0.022
35.186,1.182e4,-27.664,-0.014
35.686,1.178e4,-27.734,-0.009
36.186,1.173e4,-27.777,-0.005
36.686,1.168e4,-27.801,-0.002
37.186,1.164e4,-27.812,-3.411e-4
37.686,1.159e4,-27.813,9.44e-4
38.186,1.155e4,-27.809,0.002
38.686,1.15e4,-27.8,0.002
39.186,1.146e4,-27.788,0.003
39.686,1.141e4,-27.774,0.003
40.186,1.137e4,-27.759,0.003
40.686,1.132e4,-27.742,0.003
41.186,1.127e4,-27.725,0.004
41.686,1.123e4,-27.708,0.004
42.186,1.118e4,-27.691,0.004
42.686,1.114e4,-27.673,0.004
43.186,1.109e4,-27.655,0.004
43.686,1.105e4,-27.637,0.004
44.186,1.1e4,-27.619,0.004
44.686,1.096e4,-27.602,0.004
45.186,1.091e4,-27.584,0.004
45.686,1.087e4,-27.566,0.004
46.186,1.082e4,-27.548,0.004
46.686,1.078e4,-27.531,0.004
47.186,1.073e4,-27.513,0.004
47.686,1.069e4,-27.496,0.004
48.186,1.064e4,-27.478,0.004
48.686,1.06e4,-27.461,0.004
49.186,1.055e4,-27.443,0.004
49.686,1.051e4,-27.426,0.004
50.186,1.046e4,-27.409,0.004
50.686,1.042e4,-27.392,0.003
51.186,1.037e4,-27.374,0.003
51.686,1.033e4,-27.357,0.003
52.186,1.028e4,-27.34,0.003
52.686,1.024e4,-27.323,0.003
53.186,1.019e4,-27.306,0.003
53.686,1.015e4,-27.29,0.004
54.186,1.01e4,-27.272,0.004
54.686,1.006e4,-27.255,0.004
55.186,1.001e4,-27.237,0.004
55.686,9967.354,-27.22,0.004
56.186,9922.717,-27.202,0.004
56.686,9878.108,-27.185,0.004
